reviewId,nama_gunung,text,stars,name
Ci9DQUlRQUNvZENodHljRjlvT21kQ1ExRTBlbWgzT1ZoSVdVZDJTbE0zVldSaE1sRRAB,gunung ciremai,,5,Salman Alfarisi
Ci9DQUlRQUNvZENodHljRjlvT21KVVMxSmZXbk5LY1hwd04yTnFRMjVEWWtweFNGRRAB,gunung ciremai,"Alhamdulillah Full Cerah Ciremai di musim Hujan

Sama” pendaki infokan pendakian selanjutnya -> ig : rridho07_",5,Ridho Ramadhan
Ci9DQUlRQUNvZENodHljRjlvT2pGWVJrNUhXbXBZV1RWMFNtWmtWbVoyUWt4ZlVsRRAB,gunung ciremai,,5,Jeremy Murphy
Ci9DQUlRQUNvZENodHljRjlvT2w5Mk56ZDJXWEU0Tnpob1VEUmZkbmhPZW1WelNsRRAB,gunung ciremai,,5,Daffa Dzaky
Ci9DQUlRQUNvZENodHljRjlvT2tWSk1qSXdTazh5VFhCTWIyVk9YM1JYVUV0bFluYxAB,gunung ciremai,,5,rizky putra
Ci9DQUlRQUNvZENodHljRjlvT2tkNlJHMDBUWEl4VDJWeVJEZHFlVWRoVjJWcU0zYxAB,gunung ciremai,,4,ARSYAD REFRIZAL
Ci9DQUlRQUNvZENodHljRjlvT2pjNUxXZEhNVkJVYVY5YWVtMUpjelpGTkdsMGMyYxAB,gunung ciremai,,1,Andhika Dwi Eaa
Ci9DQUlRQUNvZENodHljRjlvT21SRFF6TkhkMjloVUhGUlVXTmhVMHBuV0UxNlgwRRAB,gunung ciremai,belum prnah si,4,Rehan Syah
Ci9DQUlRQUNvZENodHljRjlvT25kNGVXNDJSVEozWlhkQ2RWUTFVMkV3TFhaaFoyYxAB,gunung ciremai,17-8-25 indah d atas.,5,Suhandy Handy
Ci9DQUlRQUNvZENodHljRjlvT21zNFJXdHdjbU0wYVd4RWRIZFRRa3BZTFcxQlRrRRAB,gunung ciremai,,4,Tarma Juanda
Ci9DQUlRQUNvZENodHljRjlvT21oRVdsUjJjR1F0ZVRkMUxWOVJMWEZyZG1oWGJuYxAB,gunung ciremai,"Pertama hiking langsung ke ciremay,,sakit & melelahkan (hampir nyerah)
tp di kuatkan oleh tekad😃",5,Bos'R Lango
Ci9DQUlRQUNvZENodHljRjlvT2kxbE9ERkxSakJyUkd4dGJGQmxSVlJhVTFSTWEzYxAB,gunung ciremai,,5,Ian S
Ci9DQUlRQUNvZENodHljRjlvT2pJeWJ6ZGhSalJUTjJzd2QxaDZMVzUzVldSd2RrRRAB,gunung ciremai,,5,Andre Grain
Ci9DQUlRQUNvZENodHljRjlvT2tVNGNFNDRkRTR5Y1ZrM1lXZElXa3hGYjFaSlRuYxAB,gunung ciremai,"17 agustusan di puncak Ciremai, viewnya top dah mulai dari lautan awannya, ladang edelweissnya dll. Jangan mudah puas atau ngeremehin kalo mau naik gunung ini pertama kali wkwk, puncak keliatan bentar lagi tapi padahal ilusi, treknya masi curam dan full batu pasir yg bikin licin jadi siapin mental fisiknya aja wkwkwk",5,Rafan Jaris Adytia
Ci9DQUlRQUNvZENodHljRjlvT2xGMVNFUkxlRFJyZVY5dVlsVldWVmQzVXpkNGJuYxAB,gunung ciremai,,5,Rizal Efendi
ChZDSUhNMG9nS0VJQ0FnSUR2NEpEQmF3EAE,gunung ciremai,,5,Ahmad Zainudin
ChZDSUhNMG9nS0VJQ0FnSUN2enNXT0dnEAE,gunung ciremai,Pengen coba kesini,5,Mythia Kurone
ChdDSUhNMG9nS0VJQ0FnSUN2akktTGt3RRAB,gunung ciremai,,4,ULFI NOOR AKHLA
ChdDSUhNMG9nS0VJQ0FnSURQazhPMzBRRRAB,gunung ciremai,Wisata alam pegunungan yang indah sejuk tenang,5,Neng Neneng
